English,German Singular,German Plural,Differences
2805. Sedan,Die Limousine,Die Limousinen,n
2806. Commitment,Die Verpflichtung,Die Verpflichtungen,en
2807. Coward,Der Feigling,Die Feiglinge,e
2808. Git,Der Idiot,Die Idioten,en
2809. Flare,Die Fackel,Die Fackeln,n
2810. Howl,Das Heulen,Die Heulungen,"u, gen"
2811. Fang,Der Zahn,Die Zähne,":, e"
2812. Roman,Der Roman,Die Romane,e
2813. Hue,Der Farbton,Die Farbtöne,":, e"
2814. Discomfort,Die Unannehmlichkeit,Die Unannehmlichkeiten,en
2815. Vent,Die Belüftung,Die Belüftungen,en
2816. Canoe,Das Kanu,Die Kanus,s
2817. Recipe,Das Rezept,Die Rezepte,e
2818. Hamburger,Der Hamburger,Die Hamburger,
2819. Eave,Der Trauf,Die Traube,"b, e"
2820. Barber,Der Friseur,Die Friseure,e
2821. Passing,Das Vorbeigehen,Die Vorbeigehen,
2822. Betrayal,Der Verrat,Die Verrat,
2823. Sweatshirt,Der Pullover,Die Pullover,
2824. Tentacle,Das Tentakel,Die Tentakel,
2825. Surf,Die Brandung,(usually uncountable),
2826. Plaid,Der Schottenkaro,Die Schottenkaros,s
2827. Walkway,Der Gehweg,Die Gehwege,e
2828. Limp,Das Hinken,Die Hinken,
2829. Administration,Die Verwaltung,Die Verwaltungen,en
2830. Convenience,Die Bequemlichkeit,Die Bequemlichkeiten,en
2831. Diaper,Die Windel,Die Windeln,n
2832. Mole,Der Maulwurf,Die Maulwürfe,":, e"
2833. Cleaner,Der Reiniger,Die Reiniger,
2834. Swell,Das Anschwellen,Die Anschwellen,
2835. GrownUp,Der Erwachsene,Die Erwachsenen,n
2836. Scan,Die Scan,Die Scans,s
2837. Clarity,Die Klarheit,(usually uncountable),
2838. Salon,Der Salon,Die Salons,s
2839. Producer,Der Produzent,Die Produzenten,en
2840. Flying,Das Fliegen,(usually uncountable),
2841. Plea,Der Appell,Die Appelle,e
2842. Prairie,Die Prärie,Die Prärien,n
2843. Passport,Der Reisepass,Die Reisepässe,":, e"
2844. Alternative,Die Alternative,Die Alternativen,n
2845. Vanity,Die Eitelkeit,Die Eitelkeiten,en
2846. Dam,Der Damm,Die Dämme,":, e"
2847. Abuse,Der Missbrauch,Die Missbräuche,":, e"
2848. Olive,Die Olive,Die Oliven,n
2849. Miner,Der Bergarbeiter,Die Bergarbeiter,
2850. Reserve,Der Reservat,Die Reservate,e
2851. Backup,Das Backup,Die Backups,s
2852. Intercom,Das Gegensprechanlage,Die Gegensprechanlagen,n
2853. Shawl,Das Tuch,Die Tücher,":, er"
2854. Platter,Der Teller,Die Teller,
2855. Implication,Die Auswirkung,Die Auswirkungen,en
2856. Rumble,Das Grollen,Die Grollen,
2857. Announcer,Der Ansager,Die Ansager,
2858. Rubble,Der Schutt,Die Schutte,e
2859. Axe,Die Axt,Die Äxte,":, e"
2860. Transmission,Die Übertragung,Die Übertragungen,en
2861. Crib,Die Wiege,Die Wiegen,n
2862. Hop,Der Sprung,Die Sprünge,":, e"
2863. Graveyard,Der Friedhof,Die Friedhöfe,":, e"
2864. Aroma,Das Aroma,Die Aromen,"e, n"
2865. Dialogue,Der Dialog,Die Dialoge,e
2866. Roller,Der Roller,Die Roller,
2867. Congregation,Die Gemeinde,Die Gemeinden,n
2868. Terrain,Das Gelände,Die Gelände,
2869. Transfer,Die Überweisung,Die Überweisungen,en
2870. Hardware,Die Hardware,(usually uncountable),
2871. Generator,Der Generator,Die Generatoren,en
2872. Luxury,Der Luxus,Die Luxus,
2873. Auditorium,Das Auditorium,Die Auditorien,"e, n, "
2874. Goblin,Der Kobold,Die Kobolde,e
2875. Peg,Der Zapfen,Die Zapfen,
2876. Defeat,Die Niederlage,Die Niederlagen,n
2877. Haven,Der Hafen,Die Häfen,":, "
2878. Specimen,Das Exemplar,Die Exemplare,e
2879. Hearth,Der Kamin,Die Kamine,e
2880. Admission,Die Zulassung,Die Zulassungen,en
2881. Obsession,Die Besessenheit,Die Besessenheiten,en
2882. Launch,Der Start,Die Starts,s
2883. Patsy,Der Dummkopf,Die Dummköpfe,":, e"
2884. Dorm,Das Studentenwohnheim,Die Studentenwohnheime,e
2885. Glen,Das Tal,Die Täler,":, er"
2886. Saw,Die Säge,Die Sägen,n
2887. Til,Der Til,Die Tils,s
2888. Ape,Der Affe,Die Affen,n
2889. Stagger,Der Taumel,Die Taumel,
2890. Pussy,Die Möse,Die Mösen,n
2891. Collector,Der Sammler,Die Sammler,
2892. Earthquake,Das Erdbeben,Die Erdbeben,
2893. Flake,Die Flocke,Die Flocken,n
2894. Syllable,Die Silbe,Die Silben,n
2895. Bouquet,Der Blumenstrauß,Die Blumensträuße,":, e"
2896. Selection,Die Auswahl,Die Auswahlen,en
2897. Vow,Das Gelübde,Die Gelübde,
2898. Granddaughter,Die Enkelin,Die Enkelinnen,nen
2899. Symptom,Das Symptom,Die Symptome,e
2900. Scenario,Das Szenario,Die Szenarien,"e, n"
2901. Riot,Der Aufruhr,Die Aufruhr,
2902. Timing,Das Timing,Die Timingen,en
2903. Burger,Der Burger,Die Burger,
2904. Plus,Das Plus,(usually uncountable),
2905. Sparrow,Der Spatz,Die Spatzen,en
2906. Embassy,Die Botschaft,Die Botschaften,en
2907. Podium,Das Podium,Die Podien,"e, n, "
2908. Accusation,Die Anschuldigung,Die Anschuldigungen,en
2909. Manor,Das Herrenhaus,Die Herrenhäuser,":, er"
2910. Shuffling,Das Mischen,Die Mischungen,"u, gen"
2911. Dolphin,Der Delphin,Die Delfine,"f, i, n, e, "
2912. Kettle,Der Wasserkocher,Die Wasserkocher,
2913. Trooper,Der Soldat,Die Soldaten,en
2914. Salvation,Die Rettung,Die Rettungen,en
2915. Vet,Der Tierarzt,Die Tierärzte,":, e"
2916. Runway,Die Start- und Landebahn,Die Start- und Landebahnen,en
2917. Poppy,Die Mohnblume,Die Mohnblumen,n
2918. Upstairs,Oben,(usually uncountable),
2919. Lava,Die Lava,(usually uncountable),
2920. Inspiration,Die Inspiration,Die Inspirationen,en
2921. Bosom,Der Busen,Die Busen,
2922. Intruder,Der Eindringling,Die Eindringlinge,e
2923. Supermarket,Der Supermarkt,Die Supermärkte,":, e"
2924. Trophy,Der Preis,Die Preise,e
2925. Jealousy,Die Eifersucht,(usually uncountable),
2926. Warden,Der Wächter,Die Wächter,
2927. Passageway,Der Durchgang,Die Durchgänge,":, e"
2928. Marina,Die Marina,Die Marinas,s
2929. Farewell,Der Abschied,Die Abschiede,e
2930. Belongings,Das Eigentum,Die Eigentum,
2931. Procession,Die Prozession,Die Prozessionen,en
2932. Astronaut,Der Astronaut,Die Astronauten,en
2933. Crotch,Der Schritt,Die Schritte,e
2934. Sweep,Der Kehren,Die Kehren,
2935. Recovery,Die Wiederherstellung,Die Wiederherstellungen,en
2936. Harness,Das Geschirr,Die Geschirre,e
2937. Anguish,Die Angst,Die Ängste,":, e"
2938. Logo,Das Logo,Die Logos,s
2939. Litter,Der Wurf,Die Würfe,":, e"
2940. Marine,Die Marine,Die Marinen,n
2941. Resentment,Die Groll,(usually uncountable),
2942. CoOp,Die Genossenschaft,Die Genossenschaften,en
2943. Drake,Der Erpel,Die Erpel,
2944. Gypsy,Der Zigeuner,Die Zigeuner,
2945. Imitation,Die Nachahmung,Die Nachahmungen,en
2946. Employer,Der Arbeitgeber,Die Arbeitgeber,
2947. Freshman,Der Student im ersten Jahr,Die Studenten im ersten Jahr,
2948. Phenomenon,Das Phänomen,Die Phänomene,e
2949. Flute,Die Flöte,Die Flöten,n
2950. Greek,Der Grieche,Die Griechen,n
2951. Condo,Das Eigentum,Die Eigentum,
2952. Forefinger,Der Zeigefinger,Die Zeigefinger,
2953. Burial,Die Beerdigung,Die Beerdigungen,en
2954. Republic,Die Republik,Die Republiken,en
2955. Emerald,Der Smaragd,Die Smaragde,e
2956. Bathrobe,Der Bademantel,Die Bademäntel,":, "
2957. Testimony,Die Zeugenaussage,Die Zeugenaussagen,n
2958. Hinge,Das Scharnier,Die Scharniere,e
2959. Bakery,Die Bäckerei,Die Bäckereien,en
2960. Context,Der Kontext,Die Kontexte,e
2961. Bargain,Das Schnäppchen,Die Schnäppchen,
2962. Saying,Das Sprichwort,Die Sprichwörter,":, er"
2963. Foreman,Der Vorarbeiter,Die Vorarbeiter,
2964. Swan,Der Schwan,Die Schwäne,":, e"
2965. Flannel,Das Flanell,Die Flanell,
2966. Indication,Die Anzeige,Die Anzeigen,n
2967. Significance,Die Bedeutung,Die Bedeutungen,en
2968. Beetle,Der Käfer,Die Käfer,
2969. Learning,Das Lernen,(usually uncountable),
2970. Pub,Die Kneipe,Die Kneipen,n
2971. Fraction,Der Bruchteil,Die Bruchteile,e
2972. Trout,Die Forelle,Die Forellen,n
2973. Crust,Die Kruste,Die Krusten,n
2974. Overcoat,Der Mantel,Die Mäntel,":, "
2975. Glint,Das Aufblitzen,Die Aufblitzen,
2976. Medal,Die Medaille,Die Medaillen,n
2977. Perception,Die Wahrnehmung,Die Wahrnehmungen,en
2978. Welcome,Die Begrüßung,Die Begrüßungen,en
2979. Dictionary,Das Wörterbuch,Die Wörterbücher,":, er"
2980. Metaphor,Die Metapher,Die Metaphern,n
2981. Poverty,Die Armut,(usually uncountable),
